iter	Passed	Remaining
399	37948	56923
400	38019	56791
401	38104	56683
402	38212	56608
403	38346	56570
404	38439	56473
405	38513	56347
406	38615	56263
407	38710	56167
408	38801	56067
409	38910	55993
410	39011	55907
411	39147	55870
412	39283	55833
413	39397	55765
414	39503	55685
415	39627	55630
416	39712	55521
417	39821	55444
418	39930	55368
419	40062	55324
420	40229	55327
421	40336	55247
422	40436	55158
423	40521	55048
424	40629	54968
425	40721	54868
426	40835	54797
427	40947	54723
428	41069	54664
429	41209	54626
430	41352	54593
431	41444	54492
432	41579	54447
433	41691	54372
434	41792	54282
435	41904	54206
436	41969	54071
437	42062	53970
438	42188	53912
439	42295	53830
440	42372	53709
441	42441	53580
442	42528	53472
443	42638	53394
444	42751	53318
445	42856	53233
446	42976	53168
447	43088	53091
448	43203	53018
449	43292	52912
450	43403	52834
451	43529	52774
452	43626	52679
453	43787	52661
454	43891	52572
455	43967	52453
456	44085	52382
457	44198	52305
458	44311	52227
459	44420	52145
460	44578	52120
461	44703	52056
462	44792	51951
463	44886	51851
464	45004	51779
465	45137	51724
466	45238	51632
467	45308	51504
468	45416	51420
469	45505	51314
470	45588	51202
471	45695	51116
472	45761	50985
473	45853	50883
474	45944	50781
475	46031	50672
476	46173	50626
477	46290	50551
478	46397	50466
479	46488	50362
480	46581	50262
481	46676	50162
482	46778	50071
483	46869	49968
484	46946	49850
485	47042	49753
486	47176	49695
487	47288	49614
488	47384	49516
489	47451	49388
490	47564	49308
491	47667	49217
492	47759	49116
493	47839	49002
494	47929	48897
495	47992	48766
496	48067	48647
497	48147	48534
498	48243	48436
499	48343	48343
500	48441	48248
501	48523	48137
502	48610	48030
503	48724	47950
504	48808	47841
505	48890	47730
506	48985	47633
507	49076	47530
508	49165	47426
509	49264	47332
510	49360	47235
511	49467	47148
512	49552	47041
513	49642	46937
514	49742	46844
515	49829	46739
516	49926	46643
517	50025	46548
518	50124	46454
519	50220	46357
520	50323	46266
521	50412	46162
522	50501	46060
523	50603	45968
524	50712	45882
525	50798	45776
526	50885	45671
527	50942	45539
528	51030	45435
529	51091	45307
530	51181	45205
531	51286	45116
532	51387	45024
533	51481	44925
534	51577	44828
535	51662	44723
536	51756	44624
537	51848	44523
538	51958	44439
539	52052	44340
540	52128	44227
541	52220	44127
542	52303	44019
543	52395	43919
544	52474	43808
545	52571	43713
546	52648	43601
547	52741	43502
548	52828	43398
549	52898	43280
550	52991	43181
551	53083	43082
552	53180	42986
553	53274	42888
554	53368	42790
555	53452	42684
556	53543	42585
557	53632	42483
558	53693	42359
559	53767	42245
560	53840	42131
561	53910	42015
562	54013	41925
563	54096	41819
564	54193	41724
565	54288	41627
566	54365	41516
567	54424	41393
568	54532	41306
569	54622	41206
570	54734	41122
571	54829	41026
572	54906	40916
573	54975	40800
574	55064	40699
575	55160	40603
576	55270	40518
577	55401	40448
578	55511	40363
579	55586	40251
580	55663	40142
581	55749	40039
582	55840	39941
583	55933	39842
584	56021	39741
585	56134	39658
586	56257	39581
587	56390	39511
588	56497	39423
589	56599	39331
590	56708	39244
591	56829	39166
592	56928	39072
593	57013	38969
594	57119	38879
595	57248	38806
596	57392	38742
597	57489	38646
598	57575	38543
599	57661	38440
600	57770	38353
601	57894	38275
602	58011	38193
603	58108	38097
604	58178	37984
605	58254	37875
606	58360	37785
607	58479	37703
608	58612	37631
609	58757	37566
610	58846	37465
611	58949	37373
612	59045	37276
613	59168	37197
614	59300	37122
615	59429	37046
616	59530	36953
617	59612	36847
618	59700	36746
619	59783	36641
620	59876	36542
621	59966	36442
622	60052	36340
623	60137	36236
624	60228	36136
625	60340	36050
626	60461	35968
627	60580	35885
628	60664	35781
629	60808	35713
630	60938	35636
631	61069	35559
632	61178	35470
633	61281	35376
634	61381	35282
635	61470	35181
636	61541	35069
637	61619	34962
638	61708	34861
639	61836	34782
640	61964	34703
641	62066	34610
642	62180	34523
643	62315	34447
644	62432	34362
645	62552	34277
646	62644	34178
647	62737	34079
648	62802	33965
649	62918	33879
650	63025	33787
651	63149	33705
652	63252	33611
653	63344	33512
654	63460	33425
655	63544	33321
656	63618	33213
657	63710	33113
658	63799	33013
659	63875	32905
660	63960	32802
661	64045	32700
662	64145	32605
663	64232	32503
664	64306	32394
665	64391	32292
666	64478	32191
667	64567	32090
668	64656	31990
