iter	RMSE
0	0.1691490768
1	0.1547128543
2	0.1418098211
3	0.1304742415
4	0.1206772346
5	0.1119220397
6	0.1043042522
7	0.09772711189
8	0.09190826872
9	0.08679913107
10	0.08274643597
11	0.07932638617
12	0.07629006315
13	0.07377781642
14	0.07154399318
15	0.06966167133
16	0.06752913534
17	0.06610781809
18	0.06446919466
19	0.06313010405
20	0.06214699849
21	0.06107114794
22	0.06034365124
23	0.05954602158
24	0.05884707258
25	0.05841664668
26	0.05786127969
27	0.05754152184
28	0.05713494476
29	0.05689096916
30	0.05648838676
31	0.05629706088
32	0.0560223562
33	0.05568183773
34	0.05542968099
35	0.05523555123
36	0.05501589297
37	0.05485854997
38	0.05468492469
39	0.05456310134
40	0.05445674086
41	0.05431157996
42	0.05421391528
43	0.05410289848
44	0.05402392589
45	0.05395569611
46	0.05385257622
47	0.05378197358
48	0.05374841458
49	0.05370264513
50	0.0536427907
51	0.05360424324
52	0.0535390395
53	0.05348898089
54	0.05344069534
55	0.05339166939
56	0.05335350383
57	0.05331733822
58	0.05328741947
59	0.05326960854
60	0.05324493957
61	0.05322247019
62	0.05319886291
63	0.05317411269
64	0.05315474385
65	0.0531283957
66	0.0531077375
67	0.05308745303
68	0.05306880513
69	0.05305390695
70	0.05304287744
71	0.05302476991
72	0.05301247127
73	0.0530039466
74	0.05298804817
75	0.05297561975
76	0.05295774198
77	0.05294226285
78	0.05293498437
79	0.05292020838
80	0.05291086905
81	0.05290435059
82	0.05288859598
83	0.05287431546
84	0.05287430953
85	0.05286834121
86	0.05286305798
87	0.05285555015
88	0.05285436849
89	0.05284220184
90	0.05284046269
91	0.05283742362
92	0.05283466624
93	0.05283466331
94	0.05283020632
95	0.05282255058
96	0.05281206646
97	0.05281206646
98	0.05279954982
99	0.05279343508
100	0.05278971872
101	0.05278803391
102	0.05278465352
103	0.05277902057
104	0.05277605265
105	0.05277537343
106	0.05277506768
107	0.05276699071
108	0.05276635041
109	0.05276237661
110	0.05275910588
111	0.05275403568
112	0.05275372401
113	0.05275172727
114	0.0527459698
115	0.05273881947
116	0.05273808537
117	0.05273455208
118	0.05273375208
119	0.05273263767
120	0.05273207601
121	0.05273124612
122	0.05272921792
123	0.05272717831
124	0.05272549882
125	0.05272056918
126	0.05271722863
127	0.05271607784
128	0.05271593072
129	0.05271592973
130	0.05271214876
131	0.05270820858
132	0.05270668266
133	0.05270524908
134	0.0527034886
135	0.0527005052
136	0.05269543495
137	0.05269314715
138	0.05269140276
139	0.0526889464
140	0.05268713483
141	0.05268682218
142	0.05268045308
143	0.05267932472
144	0.05267738139
145	0.05267715455
146	0.05267672686
147	0.05267463793
148	0.05267462694
149	0.05267225449
150	0.05267137814
151	0.05267096067
152	0.05267086002
153	0.05267066164
154	0.05266717447
155	0.05266497912
156	0.05266126921
157	0.05265813605
158	0.05265723457
159	0.05265348579
160	0.05265231122
161	0.05265137361
162	0.05264987797
163	0.05264938547
164	0.05264587933
165	0.05264563316
166	0.0526455178
167	0.05264292488
168	0.05263647623
169	0.05263646707
170	0.05263423621
171	0.05263393108
172	0.0526336438
173	0.05263288746
174	0.05263288602
175	0.05262962424
176	0.05262698589
177	0.05262695474
178	0.05262609486
179	0.05262596409
180	0.05262518112
181	0.05262433426
182	0.05262330324
183	0.05262318897
184	0.05262299205
185	0.05262251267
186	0.05262022901
187	0.05262015614
188	0.05261988499
189	0.05261797282
190	0.05261624214
191	0.05261600679
192	0.05261342145
193	0.05261330422
194	0.052613239
195	0.0526121304
196	0.05261195838
197	0.05261121634
198	0.05261032511
199	0.0526101898
200	0.0526089551
201	0.05260460205
202	0.05260258239
203	0.05260017116
204	0.05260006219
205	0.05259651234
206	0.05259452227
207	0.05259451713
208	0.05259334979
209	0.05259323358
210	0.0525929993
211	0.05259199005
212	0.05259104679
213	0.05259098193
214	0.05258781554
215	0.05258713337
216	0.05258577424
217	0.05258351365
218	0.05258275746
